ID,JOB SERIES:,GS LEVEL:,TYPE:,Functional Competency Designation,COMPETENCY:,DESCRIPTION,APPLICABLE PROFICIENCY RATINGS,Column9,Column10,Column11
1,501,ENTRY (7-9),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",1,2,3,
2,501,ENTRY (7-9),Personal,General Career Competencies,Attention to Detail,Is thorough when performing work and conscientious about attending to detail,1,2,3,
3,501,ENTRY (7-9),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",1,2,,
4,501,ENTRY (7-9),Leading,General Career Competencies,Conflict Management,"Manages and resolves conflicts, grievances, confrontations, or disagreements in a constructive manner to minimize negative (personal) impact",1,,,
5,501,ENTRY (7-9),Personal,General Career Competencies,Critical Thinking,"Identifies rules, principles, or relationships that explain facts, data, or other information; analyzes information and makes correct inferences or draws accurate conclusions",1,2,3,
6,501,ENTRY (7-9),Personal,General Career Competencies,Customer Service,"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services",1,2,,
7,501,ENTRY (7-9),Projects,General Career Competencies,Decision Making,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",1,,,
8,501,ENTRY (7-9),Leading,General Career Competencies,Developing Others,Develops the ability of others to perform and contribute to the organization by providing ongoing feedback and by providing opportunities to learn through formal and informal methods.,1,,,
9,501,ENTRY (7-9),Personal,General Career Competencies,Digital Collaboration,"Uses digital tools and technologies for communication, knowledge-sharing, and collaborative processes; works with others to construct and create resources and knowledge, or provide services, in a digital environment.",1,2,,
10,501,ENTRY (7-9),Personal,General Career Competencies,Flexibility,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity.",1,,,
