job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0501 Financial Administration and Program Support,Entry,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Applies knowledge of financial, accounting and economic analysis to assist with the decision making process",76 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 77 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 78 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Interprets the data of financial, accounting and economic analysis to prepare for decision making",79 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 80 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 81 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Analyzes results of the financial, accounting and economic analysis to determine possible outcomes",283 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 284 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 285 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Develops and evaluates alternatives and interventions that are results of the analysis to provide valued recommendations,286 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 287 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 288 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Formulates solutions based on the recommendations to improve mission effectiveness,454 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 455 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 456 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,"Financial Concepts, Policies and Principles",Primary,"Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses typical financial procedures and practices that apply to most situations,85 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 86 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 87 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,"Financial Concepts, Policies and Principles",Primary,"Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies knowledge of policies and procedures to ensure adherence to financial guidelines,88 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 89 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 90 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,"Financial Concepts, Policies and Principles",Primary,"Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Examines a variety of documents, records, and related reports, and processes, to determine performance in accordance with appropriate procedures and regulations",304 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 305 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 306 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,"Financial Concepts, Policies and Principles",Primary,"Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Develops financial techniques and approaches that conform to fiscal requirements, and makes recommendations for improvement or implementation of new policies",307 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 308 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 309 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,"Financial Concepts, Policies and Principles",Primary,"Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Interprets and advises others on financial policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts",469 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 470 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 471 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Management Analysis,Primary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy; and assess risk by instituting risk management programs across the organization,91 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 92 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 93 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Management Analysis,Primary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review financial data,94 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 95 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 96 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Management Analysis,Primary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates financial information using a variety of analytical methods to provide recommendations,97 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 98 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 99 Third Course Name %%% Third Course Institution ||| www.cfo.gov
